Country Name,Male Height in Cm,Female Height in Cm
Netherlands,183.78,170.36
Montenegro,183.3,169.96
Estonia,182.79,168.66
Bosnia and Herzegovina,182.47,167.47
Iceland,182.1,168.91
Denmark,181.89,169.47
Czech Republic,181.19,167.96
Latvia,181.17,168.81
Slovakia,181.02,167.12
Slovenia,180.98,167.2
Ukraine,180.98,166.62
Croatia,180.76,166.8
Serbia,180.74,168.29
Lithuania,180.72,167.63
Poland,180.69,165.78
Finland,180.57,166.48
Norway,180.48,166.45
Sweden,180.46,166.67
Germany,180.28,166.18
Dominica,180.15,166.89
Bermuda,179.72,166.11
Puerto Rico,179.48,163.06
Greece,179.26,165.81
Belgium,179.09,163.4
Ireland,179.04,164.5
Lebanon,178.96,163.67
Andorra,178.84,165.53
Antigua and Barbuda,178.84,165.72
Australia,178.77,164.67
Canada,178.75,164.73
Switzerland,178.73,164.33
Grenada,178.7,165.99
Belarus,178.69,166.93
France,178.6,164.49
Austria,178.52,166.93
Luxembourg,178.46,165.07
Cook Islands,178.32,167.31
French Polynesia,178.32,166.52
United Kingdom,178.21,163.94
Romania,177.82,164.73
New Zealand,177.72,164.66
Saint Vincent and the Grenadines,177.49,165.3
Niue,177.19,167.03
American Samoa,177.09,167.55
Barbados,177.03,165.66
Jamaica,176.97,164.32
United States,176.94,163.31
Tunisia,176.85,161.69
Russia,176.65,164.52
Hungary,176.59,162.55
Saint Lucia,176.43,165.52
North Macedonia,176.43,160.88
Libya,176.39,162.56
Turkey,176.36,161.8
Morocco,176.35,161.18
Senegal,176.18,163.92
Spain,176.11,162.03
Tokelau,176.06,166.08
Trinidad and Tobago,176.03,163.38
Israel,175.98,162.22
Georgia,175.98,163.24
Seychelles,175.9,162.47
Brazil,175.73,162.41
China,175.66,163.46
Iran,175.62,161.18
Moldova,175.59,162.96
South Korea,175.52,163.23
Kazakhstan,175.5,161.74
Tonga,175.11,166.08
Palestine,175.05,161.28
Algeria,175.04,162.35
Mali,175.02,161.99
Kuwait,174.96,160.1
Jordan,174.84,159.46
Hong Kong,174.83,160.62
Argentina,174.76,161.22
North Korea,174.69,161.22
Dominican Republic,174.65,161.21
Egypt,174.57,160.88
Suriname,174.51,162.26
Italy,174.42,161.81
Samoa,174.42,163.82
Bahamas,174.4,163.46
Malta,174.38,162.95
Turkmenistan,174.37,162.83
Portugal,174.37,161.23
Uruguay,174.32,161.56
Bulgaria,174.17,164.58
United Arab Emirates,174.08,160.53
Albania,174.07,162.23
Costa Rica,174.04,160.36
Azerbaijan,174.0,161.37
Fiji,173.98,164.28
Greenland,173.84,161.4
Paraguay,173.81,159.76
Iraq,173.79,158.75
Saint Kitts and Nevis,173.71,162.78
Armenia,173.67,159.85
Cuba,173.56,160.13
Venezuela,173.53,160.04
Taiwan,173.53,160.7
Singapore,173.5,161.3
Qatar,173.27,160.72
Botswana,173.16,162.06
Mauritius,173.01,158.94
Chile,172.88,159.42
Bahrain,172.76,158.29
Cyprus,172.75,160.55
Haiti,172.23,160.58
Guyana,172.15,159.57
Cameroon,172.13,160.41
Sudan,172.07,160.36
Japan,172.06,158.5
Burkina Faso,171.89,161.33
Colombia,171.85,157.96
Chad,171.84,162.12
Oman,171.7,158.44
Kyrgyzstan,171.66,160.2
Syria,171.64,159.38
Thailand,171.61,159.42
Nigeria,171.55,158.14
Tuvalu,171.3,163.57
Republic of the Congo,171.23,158.78
Somalia,171.22,159.86
Uzbekistan,170.94,160.29
Djibouti,170.77,159.82
Guinea,170.7,158.75
Zimbabwe,170.69,159.85
Mongolia,170.67,159.89
El Salvador,170.67,156.39
Saudi Arabia,170.67,158.84
Palau,170.62,159.52
Eritrea,170.6,157.58
Belize,170.52,158.12
Gabon,170.48,160.05
Kenya,170.46,159.43
Sao Tome and Principe,170.37,159.81
Ghana,170.3,158.86
Mexico,170.29,157.9
Niger,170.26,159.81
Panama,170.19,158.19
Togo,170.14,159.13
Kiribati,170.09,161.04
Nicaragua,169.91,155.62
Namibia,169.75,160.26
South Africa,169.63,158.58
Honduras,169.59,155.18
Micronesia,169.57,159.66
Nauru,169.57,157.82
Eswatini,169.41,158.92
Malaysia,169.2,157.06
Central African Republic,169.01,159.65
Vietnam,168.89,158.43
Ethiopia,168.84,157.15
Uganda,168.74,158.53
DR Congo,168.6,156.3
Afghanistan,168.5,156.11
Angola,168.46,158.1
Benin,168.44,158.4
Tajikistan,168.43,158.12
Gambia,168.36,161.73
Vanuatu,168.29,160.48
Ivory Coast,168.23,158.65
Equatorial Guinea,168.18,158.05
Guinea-Bissau,168.17,158.72
Bolivia,168.1,155.58
Sri Lanka,168.07,155.88
Lesotho,167.92,156.72
Maldives,167.87,154.28
Comoros,167.72,156.54
Zambia,167.62,157.32
Burundi,167.34,155.08
Pakistan,167.33,154.77
Ecuador,167.32,155.25
Bhutan,167.05,155.15
Tanzania,166.98,156.89
Peru,166.75,154.39
Myanmar,166.7,154.71
India,166.5,155.18
Sierra Leone,166.43,157.34
Brunei,166.31,154.9
Indonesia,166.26,154.36
Rwanda,166.02,156.72
Malawi,165.68,156.14
Mauritania,165.54,160.06
Liberia,165.48,156.54
Cambodia,165.35,154.75
Marshall Islands,165.26,154.76
Philippines,165.23,154.14
Madagascar,165.16,153.06
Bangladesh,165.08,152.38
Yemen,164.42,154.76
Nepal,164.36,152.39
Guatemala,164.36,150.91
Mozambique,164.3,155.42
Papua New Guinea,163.1,156.89
Solomon Islands,163.07,156.79
Laos,162.78,153.1
Timor-Leste,160.13,152.71
